bakery products	хлібобулочні вироби
cereals	злаки / крупи
dairy products	молочні продукти
drinks	напої
beverages	напої
eggs	яйця
fish	риба
fruit	фрукти
meat	м'ясо
pasta	макаронні вироби
pulses	бобові
rice	рис
seafood	морепродукти
shellfish	молюски
snacks	перекус
nibbles	перекус (вдома до пива/коктейлів)
sweets	солодощі
vegetables	овочі
apple	яблуко
apricot	абрикос
banana	банан
blackcurrant	чорна смородина
cherry	вишня
grapefruit	грейпфрут
grapes	виноград
kiwi	ківі
lemon	лимон
lime	лайм
mandarin	мандарин
nectarine	нектарин
orange	апельсин
peach	персик
pear	груша
pineapple	ананас
plum	слива
raspberry	малина
strawberry	полуниця
butter	вершкове масло
cheese	сир (твердий)
cottage cheese	домашній сир (кисломолочний)
cream	вершки
milk	молоко
yoghurt	йогурт
roll	булка
white bread	білий хліб
brown bread	чорний хліб
wholemeal bread	цільнозерновий хліб
beef	яловичина
chicken	курка
fillet	філе
ham	шинка
pork chop	свиняча відбивна
pork	свинина
poultry	птиця (м'ясо птиці)
sausage	ковбаса / сосиска
rare steak	стейк з кров'ю
medium steak	стейк середнього смаження
well-done steak	добре просмажений стейк
veal	телятина
crab	краб
lobster	лобстер
mussel	мідії
octopus	восьминіг
oyster	устриці
shrimp	креветка
prawn	велика креветка
squid	кальмар
biscuits	печиво
cake	торт / тістечко
chocolate	шоколад
sweet	цукерка
instant coffee	розчинна кава
white coffee	кава з молоком
black coffee	чорна кава
strong coffee	міцна кава
weak coffee	неміцна кава
fruit juice	фруктовий сік
soft drink	безалкогольний напій
sparkling water	газована мінеральна вода
fizzy water	газована вода
still water	негазована мінеральна вода
black tea	чорний чай
fruit tea	фруктовий чай
lemon tea	чай з лимоном
asparagus	спаржа
beetroot	буряк
broccoli	броколі
Brussels sprouts	bрюссельська капуста
cabbage	капуста
carrot	морква
cauliflower	цвітна капуста
celery	селера
cucumber	огірок
garlic	часник
green bean	зелена квасоля
mushroom	гриб
onion	цибуля (ріпчаста)
spring onion	зелена цибуля
leek	цибуля-порей
lettuce	листя салату
parsley	петрушка
green pepper	зелений перець
red pepper	червоний перець
potato	картопля
radish	редис
tomato	томат / помідор
turnip	ріпа
add	додавати
beat the eggs	розбивати (збивати) яйця
blend	змішувати (блендером)
bring soup to the boil	доводити суп до кипіння
chop	рубати / дрібно нарізати
combine with sth	поєднувати з чимось
cut into cubes	нарізати кубиками
grate	терти на тертці
melt	розтоплювати
mince meat	робити фарш (рубати м'ясо)
mix	перемішувати
peel	чистити (шкірку)
pour	наливати
preheat the oven to 220 degrees	розігріти піч до 220 градусів
